id,name,url,description,test_type,remote_testing,adaptive_irt,duration_minutes
241,Oracle DBA (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-advanced-level-new,,K,True,False,
242,Oracle DBA (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new,,K,True,False,
243,Oracle PL/SQL (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new,,K,True,False,
244,Oracle WebLogic Server (New),https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new,,K,True,False,
245,Organic Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new,,K,True,False,
246,Paint Technology (New),https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new,,K,True,False,
247,Pediatrics (New),https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new,,K,True,False,
248,Pega Development (New),https://www.shl.com/solutions/products/product-catalog/view/pega-development-new,,K,True,False,
249,Perl (New),https://www.shl.com/solutions/products/product-catalog/view/perl-new,,K,True,False,
250,Petrochemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new,,K,True,False,
251,Petroleum Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new,,K,True,False,
252,Pharmaceutical Analysis (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new,,K,True,False,
253,Pharmaceutical Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-chemistry-new,,K,True,False,
254,Pharmaceutical Science (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-science-new,,K,True,False,
255,Pharmaceutics (New),https://www.shl.com/solutions/products/product-catalog/view/pharmaceutics-new,,K,True,False,
256,Pharmacology (New),https://www.shl.com/solutions/products/product-catalog/view/pharmacology-new,,K,True,False,
257,PHP (New),https://www.shl.com/solutions/products/product-catalog/view/php-new,,K,True,False,
258,PJM Development Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-development-report,,"C,A,P",True,False,
259,PJM Selection Report,https://www.shl.com/solutions/products/product-catalog/view/pjm-selection-report,,"A,C,P",True,False,
260,Polymer Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/polymer-engineering-new,,K,True,False,
261,Power Electronics and Drives (New),https://www.shl.com/solutions/products/product-catalog/view/power-electronics-and-drives-new,,K,True,False,
262,Power System Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/power-system-engineering-new,,K,True,False,
263,Prism (New),https://www.shl.com/solutions/products/product-catalog/view/prism-new,,K,True,False,
264,Production and Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-and-industrial-engineering-new,,K,True,False,
265,Production Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/production-engineering-new,,K,True,False,
266,Programming Concepts,https://www.shl.com/solutions/products/product-catalog/view/programming-concepts,,K,True,True,
267,Project Management (2013),https://www.shl.com/solutions/products/product-catalog/view/project-management-2013,,K,True,True,
268,Proofreading v1,https://www.shl.com/solutions/products/product-catalog/view/proofreading-v1,,K,True,False,
269,Python (New),https://www.shl.com/solutions/products/product-catalog/view/python-new,,K,True,False,
270,R Programming (New),https://www.shl.com/solutions/products/product-catalog/view/r-programming-new,,K,True,False,
271,ReactJS (New),https://www.shl.com/solutions/products/product-catalog/view/reactjs-new,,K,True,False,
272,Reading Comprehension - English v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-english-v1,,A,True,True,
273,Reading Comprehension - Spanish v1,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-spanish-v1,,A,True,True,
274,Reading Comprehension v2,https://www.shl.com/solutions/products/product-catalog/view/reading-comprehension-v2,,A,True,True,
275,RemoteWorkQ,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq,,C,True,False,
276,RemoteWorkQ Manager Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-manager-report,,C,True,False,
277,RemoteWorkQ Participant Report,https://www.shl.com/solutions/products/product-catalog/view/remoteworkq-participant-report,,C,True,False,
278,RESTful Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/restful-web-services-new,,K,True,False,
279,Retail Sales and Service Simulation,https://www.shl.com/solutions/products/product-catalog/view/retail-sales-and-service-simulation,,"B,K,S,A",True,False,
280,Reviewing Forms - US (R1),https://www.shl.com/solutions/products/product-catalog/view/reviewing-forms-us-r1,,K,True,False,
281,Ruby (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-new,,K,True,False,
282,Ruby on Rails (New),https://www.shl.com/solutions/products/product-catalog/view/ruby-on-rails-new,,K,True,False,
283,Sales & Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-simulation,,"S,B",True,False,
284,Sales & Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-and-service-phone-solution,,"B,P,S",True,False,
285,Sales Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/sales-interview-guide,,"P,P",True,False,
286,Sales Profiler Cards,https://www.shl.com/solutions/products/product-catalog/view/sales-profiler-cards,,P,True,False,
287,Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor,,P,True,False,
288,Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor,,P,True,False,
289,Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-sales-manager,,P,True,False,
290,Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/solutions/products/product-catalog/view/sales-transformation-report-2-0-sales-manager,,P,True,False,
291,Salesforce Development (New),https://www.shl.com/solutions/products/product-catalog/view/salesforce-development-new,,K,True,False,
292,SAP ABAP (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-advanced-level-new,,K,True,False,
293,SAP ABAP (Intermediate Level) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-abap-intermediate-level-new,,K,True,False,
294,SAP Basis (New),https://www.shl.com/solutions/products/product-catalog/view/sap-basis-new,,K,True,False,
295,SAP Business Objects WebI (New),https://www.shl.com/solutions/products/product-catalog/view/sap-business-objects-webi-new,,K,True,False,
296,SAP BW (Business Warehouse) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-bw-business-warehouse-new,,K,True,False,
297,SAP HCM (Human Capital Management) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hcm-human-capital-management-new,,K,True,False,
298,SAP Hybris (New),https://www.shl.com/solutions/products/product-catalog/view/sap-hybris-new,,K,True,False,
299,SAP Materials Management (New),https://www.shl.com/solutions/products/product-catalog/view/sap-materials-management-new,,K,True,False,
300,SAP SD (Sales and Distribution) (New),https://www.shl.com/solutions/products/product-catalog/view/sap-sd-sales-and-distribution-new,,K,True,False,
301,Search Engine Optimization (New),https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new,,K,True,False,
302,Selenium (New),https://www.shl.com/solutions/products/product-catalog/view/selenium-new,,K,True,False,
303,Shell Scripting (New),https://www.shl.com/solutions/products/product-catalog/view/shell-scripting-new,,K,True,False,
304,SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning,,"A,S",True,True,
305,SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning,,"A,S",True,True,
306,SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning,,"A,S",True,True,
307,SHL Verify Interactive G+,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-g,,A,True,True,
308,SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation,,A,True,True,
309,Siebel Development (New),https://www.shl.com/solutions/products/product-catalog/view/siebel-development-new,,K,True,False,
310,Smart Interview Live,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live,,P,True,False,
311,Smart Interview Live Coding,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live-coding,,K,True,False,
312,Smart Interview On Demand,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-on-demand,,P,True,False,
313,Social Media (New),https://www.shl.com/solutions/products/product-catalog/view/social-media-new,,K,True,False,
314,Software Business Analysis,https://www.shl.com/solutions/products/product-catalog/view/software-business-analysis,,K,True,True,
315,SonarQube (New),https://www.shl.com/solutions/products/product-catalog/view/sonarqube-new,,K,True,False,
316,Spelling (U.S.) (New),https://www.shl.com/solutions/products/product-catalog/view/spelling-u-s-new,,K,True,False,
317,Split Screen Typing Test - Form 1,https://www.shl.com/solutions/products/product-catalog/view/split-screen-typing-test-form-1,,"A,K",True,False,
318,Spring (New),https://www.shl.com/solutions/products/product-catalog/view/spring-new,,K,True,False,
319,SQL (New),https://www.shl.com/solutions/products/product-catalog/view/sql-new,,K,True,False,
320,SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new,,K,True,False,
321,SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29,,K,True,False,
322,SQL Server Integration Services (SSIS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-integration-services-ssis-new,,K,True,False,
323,SQL Server Reporting Services (SSRS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-reporting-services-ssrs-new,,K,True,False,
324,Statistical Analysis System (New),https://www.shl.com/solutions/products/product-catalog/view/statistical-analysis-system-new,,K,True,False,
325,Struts (New),https://www.shl.com/solutions/products/product-catalog/view/struts-new,,K,True,False,
326,SVAR - Spoken English (AUS),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-aus,,S,True,False,
327,SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new,,S,True,False,
328,SVAR - Spoken English (U.K.),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-u-k,,S,True,False,
329,SVAR - Spoken English (US)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-us-new,,S,True,False,
330,SVAR - Spoken French (Canadian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-canadian-new,,S,True,False,
331,SVAR - Spoken French (European) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-european-new,,S,True,False,
332,SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-castilian-new,,S,True,False,
333,SVAR - Spoken Spanish (North American) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-north-american-new,,S,True,False,
334,Swing (New),https://www.shl.com/solutions/products/product-catalog/view/swing-new,,K,True,False,
335,Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new,,K,True,False,
336,Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/telecommunications-engineering-new,,K,True,False,
337,Teradata Development (New),https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new,,K,True,False,
338,Time Management (U.S.),https://www.shl.com/solutions/products/product-catalog/view/time-management-u-s,,K,True,True,
339,Training Development,https://www.shl.com/solutions/products/product-catalog/view/training-development,,K,True,True,
340,Typing (New),https://www.shl.com/solutions/products/product-catalog/view/typing-new,,S,True,False,
341,UiPath RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/uipath-rpa-development-new,,K,True,False,
342,Universal Competency Framework Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide,,"C,P",True,False,
343,Universal Competency Framework Job profiling guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide,,"C,P",True,False,
344,Universal Competency Framework Profiler Cards (44),https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44,,"C,P",True,False,
345,UNIX (New),https://www.shl.com/solutions/products/product-catalog/view/unix-new,,K,True,False,
346,VB.NET (New),https://www.shl.com/solutions/products/product-catalog/view/vb-net-new,,K,True,False,
347,Verify - Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verify-deductive-reasoning,,A,True,True,
348,Verify - Following Instructions,https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions,,A,True,False,
349,Verify - G+,https://www.shl.com/solutions/products/product-catalog/view/verify-g,,A,True,True,
350,Verify - General Ability Screen,https://www.shl.com/solutions/products/product-catalog/view/verify-general-ability-screen,,A,True,True,
351,Verify - Inductive Reasoning (2014),https://www.shl.com/solutions/products/product-catalog/view/verify-inductive-reasoning-2014,,A,True,True,
352,Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability,,A,True,True,
353,Verify - Technical Checking - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-technical-checking-next-generation,,A,True,False,
354,Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation,,A,True,True,
355,Verify - Working with Information,https://www.shl.com/solutions/products/product-catalog/view/verify-working-with-information,,A,True,False,
356,Verify G+ - Ability Test Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-ability-test-report,,A,True,False,
357,Verify G+ - Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-candidate-report,,A,True,False,
358,Verify Interactive Ability Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-ability-report,,A,True,False,
359,Verify Interactive G+ Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-candidate-report,,A,True,False,
360,Verify Interactive G+ Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-report,,A,True,False,
361,Verify Interactive Process Monitoring,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-process-monitoring,,A,True,False,
362,Virtual Assessment and Development Centers,https://www.shl.com/solutions/products/product-catalog/view/virtual-assessment-and-development-centers,,P,True,False,
363,Visual Basic for Applications (New),https://www.shl.com/solutions/products/product-catalog/view/visual-basic-for-applications-new,,K,True,False,
364,Visual Comparison - UK,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-uk,,K,True,False,
365,Visual Comparison - US,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-us,,K,True,False,
366,VLSI and Embedded Systems (New),https://www.shl.com/solutions/products/product-catalog/view/vlsi-and-embedded-systems-new,,K,True,False,
367,What Is The Value - US,https://www.shl.com/solutions/products/product-catalog/view/what-is-the-value-us,,K,True,True,
368,Workplace Administration Skills (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-administration-skills-new,,K,True,False,
369,Workplace Health and Safety (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new,,K,True,False,
370,WriteX - Email Writing (Customer Service) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-customer-service-new,,S,True,False,
371,WriteX - Email Writing (Managerial) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-managerial-new,,S,True,False,
372,WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new,,"B,S",True,False,
373,Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1,,K,True,True,
374,Written Spanish,https://www.shl.com/solutions/products/product-catalog/view/written-spanish,,K,True,True,
375,Zabbix (New),https://www.shl.com/solutions/products/product-catalog/view/zabbix-new,,K,True,False,
376,360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report,,D,True,False,
377,360° Multi-Rater Feedback System (MFS),https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs,,"D,P",True,False,
378,Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
379,Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
380,Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
381,General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
382,Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
383,Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
384,Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
385,Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
386,Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution,"CareersOur CultureOur TeamsOur PeopleJoin SHLLatest JobsContactPractice TestsSupportCandidate SupportAnswers to frequently asked questions for technical queries when taking a test.Client SupportAnswers to frequently asked questions about our products, services and supporting documentation.Contact Support:Get help from our support teams.Practice Tests & AdviceView example questions and practice assessments.Browser CheckVerifies if your device settings are compatible.LoginBuy OnlineLanguageEnglish","K,P",True,False,
